"","date","open","high","low","close","volume","adjusted"
"255",2017-06-05,15,15.24,14.33,14.97,35100,14.97
"256",2017-06-06,15.23,15.23,14.55,15.14,45000,15.14
"257",2017-06-07,15.22,15.29,14.75,15,32900,15
"258",2017-06-08,14.84,15.9,14.82,15.65,35800,15.65
"259",2017-06-09,15.8,15.98,15.42,15.46,23300,15.46
"260",2017-06-12,15.59,15.86,15.36,15.74,52600,15.74
"261",2017-06-13,15.82,16.05,15.58,15.99,78600,15.99
"262",2017-06-14,16.09,16.09,15.19,15.4,66400,15.4
"263",2017-06-15,15.17,15.69,14.98,15.62,54300,15.62
"264",2017-06-16,15.61,15.87,15.34,15.83,43700,15.83
"265",2017-06-19,15.88,16.07,15.45,15.8,49300,15.8
"266",2017-06-20,15.81,16.02,15.6,15.98,59800,15.98
"267",2017-06-21,16.1,16.1,15.37,15.91,65900,15.91
"268",2017-06-22,15.92,16.1,15.69,15.84,70400,15.84
"269",2017-06-23,15.82,16.18,15.52,16.09,1050500,16.09
"270",2017-06-26,16.08,16.61,15.85,16.33,70100,16.33
"271",2017-06-27,16.41,16.59,16.03,16.27,63400,16.27
"272",2017-06-28,16.33,16.77,16.08,16.620001,49700,16.620001
"273",2017-06-29,16.62,17.18,16.51,17.030001,74900,17.030001
"274",2017-06-30,17.07,17.07,16.12,16.26,49700,16.26
"275",2017-07-03,16.39,16.99,16.39,16.82,35700,16.82
"276",2017-07-05,16.89,16.89,16.14,16.16,37300,16.16
"277",2017-07-06,16.09,16.28,15.79,16,32800,16
"278",2017-07-07,16.07,16.09,15.87,16.08,22200,16.08
"279",2017-07-10,15.98,16.04,15.82,15.97,53400,15.97
"280",2017-07-11,16,16.38,15.79,16.370001,33800,16.370001
"281",2017-07-12,16.43,16.67,16.33,16.469999,29700,16.469999
"282",2017-07-13,16.47,16.47,15.82,16.110001,25300,16.110001
"283",2017-07-14,16.11,16.21,15.93,15.97,22900,15.97
"284",2017-07-17,15.97,16.24,15.84,15.98,42800,15.98
"285",2017-07-18,15.95,16.15,15.79,16,37900,16
"286",2017-07-19,16.02,16.29,15.94,15.97,41200,15.97
"287",2017-07-20,15.98,16.15,15.64,15.69,39100,15.69
"288",2017-07-21,15.79,15.79,15.01,15.52,37700,15.52
"289",2017-07-24,15.43,15.82,15.26,15.43,27000,15.43
"290",2017-07-25,15.48,15.91,15.14,15.2,30800,15.2
"291",2017-07-26,15.17,15.21,14.92,15.18,25900,15.18
"292",2017-07-27,15.2,15.5,15.05,15.42,31800,15.42
"293",2017-07-28,15.39,15.68,15.14,15.36,39800,15.36
"294",2017-07-31,15.5,15.5,15.11,15.11,26400,15.11
"295",2017-08-01,15.28,15.28,14.88,15.04,14600,15.04
"296",2017-08-02,15.05,15.26,14.5,14.57,28800,14.57
"297",2017-08-03,15.55,15.55,14.54,15.5,60300,15.5
"298",2017-08-04,15.51,16.38,15.26,16.02,48000,16.02
"299",2017-08-07,16.06,16.34,15.98,16.1,44800,16.1
"300",2017-08-08,16.04,16.7,16.04,16.24,41700,16.24
"301",2017-08-09,16.14,17.2,15.89,17.09,137700,17.09
"302",2017-08-10,16.81,17.69,16.61,17.110001,101800,17.110001
"303",2017-08-11,17.19,17.44,16.06,16.059999,55500,16.059999
"304",2017-08-14,16.24,16.24,15.63,15.69,41000,15.69
"305",2017-08-15,15.7,16.3,15.6,16.23,45100,16.23
"306",2017-08-16,16.3,16.66,16.2,16.530001,35500,16.530001
"307",2017-08-17,16.4,16.44,15.82,15.96,26300,15.96
"308",2017-08-18,15.81,15.99,15.39,15.42,37200,15.42
"309",2017-08-21,15.43,15.55,15.17,15.45,39100,15.45
"310",2017-08-22,15.45,15.5,14.86,14.91,117100,14.91
"311",2017-08-23,14.74,14.89,14.65,14.75,39300,14.75
"312",2017-08-24,14.75,15,14.6,14.81,110400,14.81
"313",2017-08-25,15.14,16.3,15.03,16.25,36800,16.25
"314",2017-08-28,16.47,16.47,15.88,15.98,43600,15.98
"315",2017-08-29,16.04,17.53,16.04,17.360001,162100,17.360001
"316",2017-08-30,17.4,17.66,17.3,17.5,53600,17.5
"317",2017-08-31,17.64,18.43,17.2,18.34,69200,18.34
"318",2017-09-01,18.35,18.51,17.95,18.280001,35600,18.280001
"319",2017-09-05,18.28,18.42,17.88,18.32,47700,18.32
"320",2017-09-06,18.32,18.51,17.95,18.190001,31700,18.190001
"321",2017-09-07,18.19,18.42,17.7,18.280001,69900,18.280001
"322",2017-09-08,18.25,18.57,17.95,18.280001,37000,18.280001
"323",2017-09-11,18.36,18.59,18.13,18.42,60100,18.42
"324",2017-09-12,18.62,18.62,18.21,18.25,33400,18.25
"325",2017-09-13,18.06,18.45,18.06,18.290001,20700,18.290001
"326",2017-09-14,18.19,18.29,17.51,17.6,44800,17.6
"327",2017-09-15,17.6,17.8,17.1,17.370001,60000,17.370001
"328",2017-09-18,17.23,17.94,17.23,17.85,19700,17.85
"329",2017-09-19,17.84,17.84,17.43,17.68,19000,17.68
"330",2017-09-20,17.67,17.94,17.49,17.700001,13500,17.700001
"331",2017-09-21,17.85,18.07,17.56,17.99,21100,17.99
"332",2017-09-22,18.11,18.25,17.8,17.959999,25600,17.959999
"333",2017-09-25,17.86,18.05,17.57,17.969999,26900,17.969999
"334",2017-09-26,18.1,18.66,17.97,18.59,39300,18.59
"335",2017-09-27,18.63,19.51,18.5,19.17,49900,19.17
"336",2017-09-28,19.18,19.54,18.96,19.129999,28900,19.129999
"337",2017-09-29,19.12,19.49,18.89,19.02,35900,19.02
"338",2017-10-02,19.1,19.69,19.03,19.65,25100,19.65
"339",2017-10-03,19.66,19.69,19.33,19.389999,29000,19.389999
"340",2017-10-04,19.3,19.48,19.05,19.129999,22200,19.129999
"341",2017-10-05,19.1,20.07,18.71,19.91,63700,19.91
"342",2017-10-06,19.94,20.08,19.6,19.639999,30000,19.639999
"343",2017-10-09,19.77,19.77,19.11,19.4,43600,19.4
"344",2017-10-10,19.61,20,19.46,19.82,27400,19.82
"345",2017-10-11,20.1,20.32,19.92,20.139999,37200,20.139999
"346",2017-10-12,20.27,20.47,20,20.01,21900,20.01
"347",2017-10-13,20.17,20.17,19.9,20.049999,34500,20.049999
"348",2017-10-16,20.06,21.1,19.85,21.08,61200,21.08
"349",2017-10-17,21.09,21.11,20.63,20.66,42100,20.66
"350",2017-10-18,20.7,20.7,20.28,20.389999,32700,20.389999
"351",2017-10-19,20.37,20.45,20.03,20.389999,18100,20.389999
"352",2017-10-20,20.51,20.51,19.65,19.860001,29000,19.860001
"353",2017-10-23,19.69,19.75,18.39,18.43,70100,18.43
"354",2017-10-24,18.61,19.62,18.61,19.200001,30500,19.200001
"355",2017-10-25,19.09,19.21,18.54,19.16,25500,19.16
"356",2017-10-26,19.27,19.31,18.78,18.799999,14900,18.799999
"357",2017-10-27,19.3,19.3,18.59,19.15,28600,19.15
"358",2017-10-30,19.06,19.06,17.92,18.15,36300,18.15
"359",2017-10-31,18.26,18.52,17.94,18.24,41300,18.24
"360",2017-11-01,18.28,18.66,17.49,17.83,51000,17.83
"361",2017-11-02,18.05,18.09,17.53,17.58,34800,17.58
"362",2017-11-03,17.47,17.9,17.26,17.799999,32800,17.799999
"363",2017-11-06,17.67,18.13,17.62,17.85,27800,17.85
"364",2017-11-07,17.73,17.84,17.2,17.66,37600,17.66
"365",2017-11-08,17.49,17.85,17.06,17.719999,36600,17.719999
